gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group C,some high school,standard,none,52,42,40
female,group E,associate's degree,free/reduced,none,71,87,86
female,group B,some high school,free/reduced,none,48,55,52
male,group E,some high school,standard,none,72,72,64
male,group E,some college,standard,completed,65,59,60
male,group C,associate's degree,free/reduced,none,76,70,63
male,group D,some college,standard,none,71,74,70
female,group D,some high school,free/reduced,none,64,78,77
male,group C,high school,standard,none,61,51,47
female,group B,some high school,free/reduced,none,53,63,56
female,group D,master's degree,standard,none,86,94,91
female,group E,high school,standard,none,67,70,66
male,group C,bachelor's degree,standard,completed,64,66,62
female,group C,some college,standard,none,56,62,68
female,group E,bachelor's degree,standard,none,57,58,60
male,group D,high school,standard,none,77,84,76
male,group D,high school,standard,none,93,88,82
female,group E,some college,standard,none,100,100,98
male,group E,some college,free/reduced,completed,76,61,67
female,group A,bachelor's degree,free/reduced,none,47,57,58
male,group D,high school,standard,none,56,44,51
female,group D,some high school,free/reduced,completed,52,66,71
male,group D,bachelor's degree,standard,none,64,57,58
female,group D,associate's degree,standard,completed,80,94,100
female,group D,high school,standard,none,57,69,61
male,group E,some high school,standard,none,98,96,83
male,group C,associate's degree,standard,completed,86,91,84
female,group D,some high school,standard,none,55,64,58
female,group E,high school,standard,none,53,63,61
male,group E,some college,standard,none,78,74,62
male,group B,high school,free/reduced,completed,44,56,49
female,group E,some high school,standard,none,68,75,71
male,group D,master's degree,standard,completed,100,100,100
male,group A,bachelor's degree,standard,none,56,45,51
female,group C,some high school,free/reduced,none,34,46,44
female,group B,high school,standard,completed,83,89,92
male,group C,high school,free/reduced,completed,80,80,80
female,group D,bachelor's degree,standard,none,52,55,62
male,group B,high school,free/reduced,none,43,53,43
female,group C,high school,free/reduced,none,70,80,79
male,group C,some high school,standard,completed,73,67,66
male,group D,associate's degree,standard,none,64,56,60
female,group E,some high school,standard,completed,61,62,67
female,group E,bachelor's degree,standard,none,58,56,56
male,group C,bachelor's degree,standard,none,66,65,61
female,group C,some high school,standard,none,75,86,86
female,group B,some college,standard,none,81,85,86
male,group C,bachelor's degree,free/reduced,completed,50,52,48
male,group D,high school,standard,none,48,48,41
male,group C,associate's degree,standard,none,86,83,82
male,group E,associate's degree,standard,none,59,51,45
female,group C,high school,standard,none,63,76,71
male,group C,some college,free/reduced,none,74,69,64
female,group C,some high school,standard,completed,74,69,75
male,group D,some college,standard,none,79,75,74
female,group C,some high school,standard,completed,65,72,75
female,group C,some high school,standard,none,76,90,81
female,group D,high school,standard,completed,81,81,85
female,group B,some high school,free/reduced,completed,76,82,81
female,group C,some college,standard,none,71,74,71
male,group D,some college,free/reduced,none,72,86,81
male,group C,master's degree,standard,none,49,50,50
female,group B,bachelor's degree,free/reduced,none,59,57,64
male,group B,some high school,standard,none,68,50,46
male,group B,some high school,standard,completed,61,59,52
female,group D,master's degree,standard,completed,93,100,100
female,group C,associate's degree,standard,none,65,76,82
male,group D,associate's degree,standard,none,66,52,53
male,group B,some college,free/reduced,none,53,53,56
female,group C,some college,standard,none,53,62,63
male,group B,some high school,free/reduced,none,40,52,40
male,group D,high school,standard,none,60,59,51
female,group C,some high school,free/reduced,completed,28,37,35
male,group D,associate's degree,standard,none,93,81,82
female,group D,associate's degree,free/reduced,none,68,78,79
male,group D,some high school,standard,none,80,69,75
male,group C,some high school,free/reduced,completed,49,44,46
male,group C,associate's degree,free/reduced,none,76,79,67
male,group C,some college,standard,none,70,69,62
male,group E,high school,free/reduced,none,83,75,80
male,group B,some college,standard,none,68,60,54
female,group A,high school,free/reduced,none,46,58,52
male,group E,high school,standard,none,84,72,69
female,group C,bachelor's degree,free/reduced,none,55,74,72
female,group A,some college,standard,none,72,82,83
male,group C,bachelor's degree,standard,none,83,79,81
male,group D,some high school,standard,none,80,76,73
male,group D,high school,standard,none,80,70,71
male,group D,master's degree,standard,completed,83,80,86
female,group C,some high school,standard,none,49,66,61
male,group D,bachelor's degree,standard,completed,71,71,71
male,group D,some college,standard,completed,70,73,74
male,group E,associate's degree,free/reduced,completed,74,66,62
female,group C,associate's degree,standard,none,74,87,85
male,group B,some college,standard,completed,63,75,68
male,group D,master's degree,free/reduced,completed,52,51,51
male,group C,some college,free/reduced,none,59,61,65
female,group E,some college,standard,none,72,80,80
male,group C,high school,standard,completed,76,82,72
female,group E,some college,free/reduced,none,76,79,78
male,group E,some high school,standard,none,53,51,44
female,group B,high school,standard,none,50,70,65
female,group E,bachelor's degree,standard,completed,95,97,100
male,group B,associate's degree,free/reduced,none,59,58,57
female,group B,master's degree,standard,completed,64,68,71
female,group D,some college,standard,none,67,70,75
male,group D,bachelor's degree,free/reduced,none,64,70,71
male,group C,some high school,standard,completed,84,82,76
female,group C,bachelor's degree,standard,completed,82,95,100
male,group E,some college,free/reduced,completed,59,55,53
male,group E,high school,standard,completed,93,87,87
male,group C,some college,standard,none,48,55,50
female,group A,master's degree,standard,none,66,91,87
male,group C,high school,standard,none,52,50,51
male,group D,some high school,standard,completed,89,81,82
female,group C,associate's degree,standard,completed,29,43,47
male,group E,bachelor's degree,free/reduced,completed,95,87,94
female,group D,associate's degree,free/reduced,none,57,63,64
female,group D,master's degree,standard,none,83,94,96
male,group D,associate's degree,free/reduced,completed,61,49,56
male,group B,some college,standard,none,70,53,56
male,group B,associate's degree,free/reduced,none,71,68,71
male,group B,high school,standard,none,41,37,29
female,group B,some college,standard,completed,68,92,87
female,group A,some high school,standard,none,73,77,71
female,group C,some high school,free/reduced,none,60,76,64
female,group D,associate's degree,standard,none,65,75,78
female,group B,some high school,standard,none,60,65,64
female,group E,master's degree,standard,none,83,88,85
male,group C,high school,standard,none,69,67,58
female,group C,high school,standard,completed,58,72,73
male,group C,some college,free/reduced,none,29,40,35
female,group D,high school,standard,none,49,68,68
male,group A,some college,free/reduced,none,47,50,47
male,group E,some college,standard,completed,77,69,65
male,group D,some college,standard,none,60,60,59
female,group B,some high school,standard,completed,67,81,83
female,group B,master's degree,standard,completed,61,86,84
female,group D,some high school,standard,none,53,63,64
female,group D,some high school,standard,none,63,73,68
female,group B,some high school,free/reduced,none,60,67,60
male,group C,associate's degree,standard,completed,72,67,75
female,group A,some high school,free/reduced,none,22,33,32
male,group A,high school,standard,none,52,43,41
female,group E,some high school,standard,completed,82,95,86
female,group D,high school,free/reduced,none,40,56,55
female,group B,high school,free/reduced,none,49,66,59
male,group C,some college,standard,none,51,46,49
female,group A,associate's degree,standard,none,72,82,84
male,group C,some high school,free/reduced,none,40,47,37
female,group B,high school,standard,completed,55,65,61
male,group A,associate's degree,standard,none,70,80,76
male,group B,high school,free/reduced,none,40,39,38
male,group D,associate's degree,standard,completed,57,53,58
male,group B,associate's degree,standard,completed,78,79,79
male,group C,high school,free/reduced,none,71,67,59
male,group C,associate's degree,standard,none,62,64,61
male,group A,some college,free/reduced,none,76,75,69
male,group A,associate's degree,standard,none,67,60,58
female,group C,high school,standard,completed,67,89,81
male,group B,associate's degree,free/reduced,none,70,64,68
male,group D,high school,standard,none,51,43,40
male,group D,some college,standard,completed,87,75,77
female,group A,high school,free/reduced,none,64,74,70
male,group C,high school,standard,none,66,66,58
male,group D,bachelor's degree,standard,none,97,91,89
female,group C,bachelor's degree,standard,completed,31,58,56
male,group E,master's degree,standard,none,95,87,79
female,group C,bachelor's degree,standard,completed,72,85,93
male,group E,high school,free/reduced,none,55,57,49
male,group D,bachelor's degree,standard,completed,85,88,89
male,group C,master's degree,standard,completed,100,99,98
male,group C,master's degree,standard,none,72,64,62
female,group D,high school,free/reduced,completed,60,67,68
male,group C,associate's degree,standard,none,82,83,83
female,group C,high school,standard,none,55,67,66
female,group E,associate's degree,standard,completed,83,87,91
female,group A,some high school,standard,none,65,83,77
male,group C,associate's degree,standard,completed,75,69,68
female,group D,high school,standard,none,69,83,72
male,group D,some college,standard,none,86,78,82
male,group D,some high school,standard,none,59,53,56
female,group D,some college,standard,completed,90,100,100
female,group C,some college,standard,none,74,86,82
female,group C,associate's degree,standard,none,51,54,58
male,group B,some high school,standard,none,67,64,58
female,group A,some high school,standard,completed,59,64,67
female,group B,bachelor's degree,standard,none,71,82,76
female,group B,some college,standard,none,63,81,78
female,group B,some high school,free/reduced,none,65,77,70
male,group B,some college,standard,completed,91,83,90
female,group D,associate's degree,standard,none,93,92,97
male,group C,some high school,free/reduced,none,58,52,47
male,group A,some college,free/reduced,completed,38,42,42
female,group B,bachelor's degree,standard,none,44,64,58
female,group D,some high school,standard,none,56,66,68
female,group C,some high school,standard,none,59,62,62
female,group C,some high school,standard,none,67,77,74
male,group B,high school,free/reduced,completed,42,49,47
male,group D,bachelor's degree,free/reduced,none,36,36,35
female,group D,some college,standard,none,71,76,72
female,group E,bachelor's degree,standard,none,78,86,80
female,group C,some high school,standard,none,61,66,68
female,group D,some college,standard,completed,71,77,84
male,group C,high school,standard,none,45,34,37
male,group C,some college,standard,none,92,77,69
female,group D,bachelor's degree,free/reduced,none,74,92,88
male,group B,some high school,standard,completed,79,76,76
female,group E,high school,free/reduced,completed,62,60,65
female,group C,bachelor's degree,free/reduced,none,38,50,49
female,group D,master's degree,standard,completed,86,94,100
female,group D,some college,standard,none,69,72,74
female,group B,high school,free/reduced,completed,71,94,89
female,group D,some college,standard,none,71,82,84
male,group D,master's degree,standard,none,76,62,63
female,group E,some high school,standard,none,52,60,55
female,group C,associate's degree,standard,none,72,73,78
female,group D,some college,standard,none,47,58,52
female,group D,some college,free/reduced,none,62,73,71
male,group A,some college,standard,none,74,75,71
female,group A,associate's degree,standard,none,67,78,75
female,group D,associate's degree,free/reduced,none,31,45,49
male,group C,some college,standard,none,58,58,49
male,group C,high school,free/reduced,completed,82,85,82
female,group A,master's degree,standard,none,91,87,95
male,group B,some college,standard,completed,78,79,78
female,group B,bachelor's degree,standard,none,52,66,59
female,group C,some high school,standard,none,68,74,76
male,group D,master's degree,free/reduced,none,61,61,58
male,group B,some college,standard,completed,53,55,54
female,group C,associate's degree,standard,none,79,89,79
male,group C,some college,free/reduced,completed,76,73,68
male,group D,master's degree,standard,none,60,61,58
male,group D,high school,standard,completed,60,58,61
male,group B,high school,free/reduced,none,40,42,30
male,group D,master's degree,free/reduced,none,74,71,69
female,group B,bachelor's degree,standard,none,69,75,75
male,group D,high school,standard,completed,75,63,65
female,group D,some college,standard,none,79,84,82
female,group B,associate's degree,free/reduced,completed,48,65,66
male,group D,associate's degree,standard,completed,98,100,99
female,group D,high school,standard,none,66,66,67
female,group A,master's degree,standard,completed,87,96,98
female,group D,some college,free/reduced,none,42,51,51
male,group B,associate's degree,standard,completed,89,88,88
female,group C,some college,standard,completed,52,62,62
male,group B,some college,standard,none,67,51,50
male,group C,bachelor's degree,standard,none,83,67,64
female,group D,bachelor's degree,standard,none,60,69,67
female,group C,high school,standard,none,68,76,74
male,group A,some high school,standard,none,68,57,55
male,group D,some college,standard,none,52,38,47
male,group E,high school,standard,none,57,55,53
female,group E,some college,free/reduced,completed,57,70,76
male,group D,associate's degree,standard,none,67,62,61
female,group A,bachelor's degree,standard,completed,83,96,95
female,group A,some high school,standard,none,42,50,46
male,group C,some high school,standard,none,69,65,62
male,group C,some high school,standard,none,64,58,55
male,group C,associate's degree,standard,completed,81,80,77
female,group E,high school,standard,completed,92,87,98
female,group C,some high school,standard,completed,88,94,91
female,group D,some high school,standard,completed,61,73,79
female,group A,some high school,standard,none,81,83,81
male,group C,some college,standard,completed,71,68,66
male,group B,some college,standard,none,66,62,63
male,group D,associate's degree,standard,none,82,78,71
female,group C,master's degree,free/reduced,none,75,77,75
female,group D,some high school,free/reduced,none,33,39,40
male,group B,some college,standard,completed,86,86,87
male,group C,high school,standard,none,51,41,38
female,group C,some high school,free/reduced,completed,42,55,55
male,group E,bachelor's degree,free/reduced,completed,84,86,86
male,group D,some college,free/reduced,completed,60,54,56
male,group D,master's degree,standard,completed,77,75,77
female,group D,some high school,standard,completed,75,83,83
male,group B,some college,standard,none,49,38,40
female,group B,associate's degree,standard,completed,68,78,82
male,group A,high school,standard,none,78,69,65
male,group D,some high school,free/reduced,none,58,59,55
male,group C,high school,standard,completed,70,73,66
female,group D,some high school,standard,completed,90,100,98
male,group C,some high school,free/reduced,none,50,45,40
female,group A,some high school,standard,none,49,57,52
female,group C,some high school,standard,none,41,44,42
male,group D,associate's degree,free/reduced,none,43,48,41
female,group C,associate's degree,standard,none,74,83,87
female,group E,associate's degree,standard,none,98,95,94
male,group D,bachelor's degree,free/reduced,none,84,84,79
female,group D,bachelor's degree,free/reduced,none,59,66,70
male,group E,associate's degree,free/reduced,none,81,75,68
female,group B,bachelor's degree,standard,none,61,75,67
female,group D,some college,standard,none,52,65,65
male,group D,some high school,free/reduced,none,65,71,69
male,group E,bachelor's degree,free/reduced,none,68,60,58
male,group B,high school,free/reduced,none,46,34,35
male,group B,bachelor's degree,standard,none,67,70,68
female,group E,some high school,free/reduced,none,70,68,72
female,group A,bachelor's degree,standard,none,45,49,49
male,group D,some high school,standard,none,77,72,70
female,group C,master's degree,free/reduced,none,62,83,73
female,group E,master's degree,standard,none,83,78,78
male,group C,bachelor's degree,standard,none,71,64,61
female,group C,some high school,standard,completed,87,81,83
male,group A,some college,standard,none,78,74,70
female,group D,some high school,free/reduced,none,48,53,54
female,group C,bachelor's degree,free/reduced,completed,48,67,62
female,group D,associate's degree,standard,completed,54,65,75
male,group A,some high school,standard,none,65,66,62
female,group C,associate's degree,standard,completed,91,91,94
male,group D,some college,standard,none,74,63,67
female,group D,high school,free/reduced,none,30,47,45
female,group B,some college,free/reduced,none,41,59,56
male,group D,some college,free/reduced,none,75,77,68
female,group C,high school,standard,none,79,92,87
female,group C,associate's degree,free/reduced,completed,77,93,93
male,group C,associate's degree,standard,none,60,61,52
female,group E,associate's degree,free/reduced,none,74,72,70
female,group E,some college,free/reduced,none,53,69,64
male,group B,master's degree,free/reduced,none,67,67,63
female,group D,some high school,free/reduced,completed,33,46,49
male,group C,high school,free/reduced,none,54,54,51
female,group B,high school,free/reduced,none,34,48,44
female,group D,associate's degree,standard,completed,76,88,94
male,group C,high school,free/reduced,completed,56,48,55
female,group C,associate's degree,free/reduced,none,66,77,68
male,group D,master's degree,free/reduced,completed,72,79,75
male,group C,some college,standard,none,60,53,52
male,group C,bachelor's degree,standard,none,50,41,43
male,group C,high school,standard,none,69,59,60
female,group B,high school,standard,none,42,57,54
male,group C,high school,standard,none,67,56,55
male,group D,associate's degree,standard,none,59,54,55
female,group C,master's degree,free/reduced,none,76,77,80
male,group C,high school,standard,none,61,50,48
male,group D,some high school,standard,none,57,56,50
female,group D,master's degree,standard,none,86,82,87
female,group E,high school,standard,none,92,90,99
female,group E,high school,standard,completed,89,100,99
female,group A,bachelor's degree,standard,none,71,82,85
male,group C,some high school,free/reduced,none,55,59,54
male,group A,some college,free/reduced,completed,83,80,73
female,group C,some high school,free/reduced,completed,65,66,66
male,group B,high school,standard,none,55,37,36
female,group D,some college,standard,none,54,61,66
male,group D,some high school,standard,none,52,57,49
female,group E,some college,standard,none,100,94,90
female,group A,master's degree,standard,none,78,87,86
male,group C,high school,free/reduced,none,56,62,53
female,group A,master's degree,free/reduced,none,69,73,75
female,group D,some high school,standard,none,77,79,82
female,group B,some college,standard,none,67,82,79
female,group D,associate's degree,standard,none,89,100,99
male,group B,some college,standard,completed,87,89,88
female,group A,associate's degree,free/reduced,completed,27,40,45
male,group D,some high school,standard,completed,76,70,74
male,group B,some college,free/reduced,completed,49,40,46
female,group C,some college,standard,none,76,79,78
female,group C,high school,standard,none,72,81,71
male,group D,associate's degree,free/reduced,completed,62,77,69
male,group D,some college,free/reduced,none,80,72,80
female,group D,bachelor's degree,standard,completed,68,79,83
male,group C,associate's degree,standard,none,73,65,64
male,group D,associate's degree,free/reduced,completed,77,84,79
female,group C,associate's degree,standard,none,72,82,75
female,group C,high school,standard,none,60,55,50
male,group C,some college,standard,none,72,68,61
male,group D,bachelor's degree,free/reduced,completed,85,78,80
male,group C,high school,free/reduced,none,67,69,60
female,group D,some college,standard,none,76,72,77
male,group E,some high school,free/reduced,none,52,53,53
female,group C,associate's degree,free/reduced,none,48,65,61
male,group C,bachelor's degree,standard,none,55,60,46
male,group D,some college,standard,none,66,58,55
male,group D,bachelor's degree,standard,none,51,61,61
male,group B,some high school,standard,completed,73,62,61
female,group C,associate's degree,free/reduced,none,62,71,75
female,group E,some college,free/reduced,none,67,77,71
female,group E,high school,standard,none,74,75,69
male,group B,some college,standard,completed,62,59,64
female,group B,associate's degree,free/reduced,none,42,50,51
female,group B,master's degree,free/reduced,none,62,77,78
female,group B,associate's degree,free/reduced,none,56,74,62
female,group C,high school,standard,completed,77,81,82
female,group C,high school,standard,none,43,53,55
male,group A,high school,free/reduced,completed,39,43,42
male,group E,some high school,standard,none,88,77,69
male,group D,some high school,standard,none,52,52,49
male,group C,high school,standard,completed,78,71,73
female,group C,some college,free/reduced,completed,49,60,62
female,group C,some college,free/reduced,none,67,77,76
male,group D,high school,standard,none,76,67,63
male,group B,master's degree,free/reduced,none,71,76,77
female,group C,high school,standard,completed,52,58,64
female,group D,some college,standard,completed,78,93,91
female,group D,some college,standard,none,60,68,74
male,group A,high school,standard,none,62,53,49
male,group C,high school,free/reduced,none,48,46,44
female,group D,some high school,free/reduced,none,33,42,43
female,group A,high school,standard,completed,65,78,77
male,group C,high school,standard,none,60,55,51
female,group E,associate's degree,standard,completed,85,87,85
male,group D,some high school,free/reduced,none,33,43,36
female,group E,some high school,free/reduced,completed,34,48,43
male,group C,associate's degree,standard,none,86,73,73
female,group A,high school,standard,none,46,55,57
male,group A,associate's degree,standard,completed,56,62,50
female,group E,associate's degree,standard,completed,85,87,89
female,group B,associate's degree,free/reduced,completed,54,67,65
female,group C,some college,standard,completed,87,99,100
female,group C,high school,standard,none,68,75,74
female,group D,bachelor's degree,standard,completed,83,91,97
female,group B,associate's degree,free/reduced,completed,58,66,72
female,group D,some high school,standard,none,79,84,84
male,group D,associate's degree,free/reduced,none,42,40,38
male,group B,some college,standard,none,61,67,66
male,group B,some college,standard,none,86,80,73
female,group C,some high school,free/reduced,none,51,64,54
male,group D,some high school,standard,none,73,63,67
male,group C,some college,free/reduced,none,56,55,44
female,group C,some college,free/reduced,none,59,66,67
male,group C,associate's degree,standard,none,58,61,57
male,group E,some high school,standard,completed,56,36,36
male,group E,some high school,standard,none,85,78,75
male,group C,master's degree,free/reduced,none,85,86,80
female,group E,bachelor's degree,free/reduced,completed,70,78,81
female,group C,high school,standard,none,67,67,70
female,group C,high school,free/reduced,none,59,78,74
female,group E,high school,free/reduced,none,60,63,60
female,group B,some college,standard,none,62,59,60
female,group C,some college,standard,none,49,60,55
male,group E,bachelor's degree,free/reduced,none,67,58,60
female,group A,bachelor's degree,free/reduced,none,62,78,76
female,group B,master's degree,free/reduced,none,59,76,78
female,group E,some college,standard,completed,86,87,91
male,group C,some college,standard,completed,73,79,75
female,group C,some high school,standard,none,53,77,74
female,group E,associate's degree,standard,completed,73,82,80
female,group C,bachelor's degree,standard,none,63,57,63
female,group D,associate's degree,free/reduced,none,57,77,74
male,group D,bachelor's degree,standard,none,68,50,57
male,group C,master's degree,standard,none,71,56,58
male,group D,some college,standard,none,91,82,77
female,group C,some college,standard,none,60,60,61
male,group D,some college,standard,completed,73,69,70
male,group D,bachelor's degree,free/reduced,completed,83,75,84
female,group B,associate's degree,standard,completed,74,89,84
male,group D,bachelor's degree,free/reduced,completed,67,59,68
female,group C,associate's degree,standard,none,62,79,73
male,group B,associate's degree,free/reduced,none,20,25,19
male,group B,master's degree,standard,none,87,84,78
male,group E,associate's degree,standard,none,97,87,86
male,group D,master's degree,standard,none,64,65,52
male,group C,high school,standard,completed,69,64,72
female,group C,high school,standard,none,48,54,54
female,group D,some college,free/reduced,none,55,57,56
female,group C,some high school,standard,completed,53,69,68
male,group C,associate's degree,standard,none,78,68,71
male,group C,some college,standard,none,58,58,58
female,group B,some college,standard,none,51,55,58
female,group B,some high school,free/reduced,none,41,45,40
male,group A,some college,standard,completed,71,64,71
male,group C,high school,free/reduced,completed,79,77,84
female,group B,associate's degree,standard,completed,76,84,87
female,group D,master's degree,free/reduced,completed,85,100,100
male,group A,some college,free/reduced,completed,85,79,76
female,group A,high school,free/reduced,none,59,78,71
male,group C,high school,standard,completed,82,69,71
male,group D,high school,standard,completed,87,77,86
female,group D,bachelor's degree,standard,none,60,69,75
male,group D,bachelor's degree,free/reduced,none,72,67,68
male,group C,bachelor's degree,standard,none,71,73,71
male,group B,high school,standard,completed,65,59,60
female,group B,associate's degree,free/reduced,none,49,68,62
male,group B,associate's degree,standard,none,70,77,72
female,group D,master's degree,standard,none,95,100,99
male,group A,master's degree,free/reduced,none,67,68,62
female,group B,high school,standard,completed,71,84,79
female,group B,some high school,free/reduced,none,62,73,72
male,group D,high school,free/reduced,completed,37,40,40
female,group C,associate's degree,standard,none,74,83,79
female,group B,high school,standard,none,75,83,80
male,group D,some high school,free/reduced,completed,60,68,67
male,group B,some high school,free/reduced,completed,56,61,53
male,group B,some high school,free/reduced,completed,45,58,48
female,group D,bachelor's degree,standard,none,78,77,79
female,group E,some high school,standard,none,47,49,49
male,group C,associate's degree,free/reduced,none,80,73,66
female,group D,some high school,standard,none,66,75,78
male,group C,bachelor's degree,standard,none,69,64,60
female,group C,high school,free/reduced,none,40,54,56
female,group C,some college,free/reduced,completed,52,65,70
